No,Kelas Aktual,Kelas Sistem
1,Iris-virginica,Iris-virginica
2,Iris-virginica,Iris-virginica
3,Iris-virginica,Iris-virginica
4,Iris-setosa,Iris-versicolor
5,Iris-versicolor,Iris-versicolor
6,Iris-versicolor,Iris-setosa
7,Iris-setosa,Iris-setosa
8,Iris-versicolor,Iris-versicolor
9,Iris-setosa,Iris-setosa
10,Iris-versicolor,Iris-versicolor
11,Iris-setosa,Iris-virginica
12,Iris-versicolor,Iris-setosa
13,Iris-virginica,Iris-virginica
14,Iris-virginica,Iris-virginica
15,Iris-setosa,Iris-setosa
16,Iris-setosa,Iris-setosa
17,Iris-versicolor,Iris-virginica
18,Iris-versicolor,Iris-setosa
19,Iris-virginica,Iris-versicolor
20,Iris-setosa,Iris-setosa
21,Iris-versicolor,Iris-versicolor
22,Iris-virginica,Iris-virginica
23,Iris-setosa,Iris-virginica
24,Iris-virginica,Iris-virginica
25,Iris-virginica,Iris-virginica
26,Iris-virginica,Iris-virginica
27,Iris-versicolor,Iris-versicolor
28,Iris-versicolor,Iris-versicolor
29,Iris-versicolor,Iris-versicolor
30,Iris-virginica,Iris-virginica
